snapshot,PV Power,Wind Power,Grid Power,EV Load,Battery SOC,Battery Charger
2024-03-25 06:00:00,0.1789338959174,-0.0,85.92632926197733,86.0,100.0,0.10526315789473087
2024-03-25 07:00:00,9.7866247511572,-0.0,43.11863840673753,52.8,100.0,0.10526315789473087
2024-03-25 08:00:00,30.43770591417945,-0.0,1.3675572437152788,31.7,100.0,0.10526315789473087
2024-03-25 09:00:00,12.4562690282861,5.066666666666665,28.58232746294197,46.0,100.0,0.10526315789473087
2024-03-25 10:00:00,114.05521681532264,8.949999999999996,-0.0,64.1,155.8599559745565,58.90521681532264
2024-03-25 11:00:00,204.23308213551834,12.0,296.031027318606,570.9,100.0,-58.635890545875725
2024-03-25 12:00:00,264.413357840644,15.499999999999991,-0.0,248.9,129.36268994861177,31.01335784064397
2024-03-25 13:00:00,55.33506944444445,12.399999999999997,-0.0,38.8,156.7216432308854,28.93506944444445
2024-03-25 14:00:00,39.91666666666665,18.583333333333332,387.3579772761532,505.4,100.0,-59.542022723846856
2024-03-25 15:00:00,15.782986111111098,15.75,362.97227704678363,394.4,100.0,0.10526315789473087
2024-03-25 16:00:00,20.96354166666665,15.999999999999996,237.04172149122806,273.9,100.0,0.10526315789473087
2024-03-25 17:00:00,38.74131944444445,27.0,179.2639437134503,244.9,100.0,0.10526315789473087
2024-03-25 18:00:00,1.4375,31.200000000000003,102.76776315789475,135.3,100.0,0.10526315789473087
2024-03-25 19:00:00,-0.0,35.49999999999999,33.90526315789473,69.3,100.0,0.10526315789473087
2024-03-25 20:00:00,-0.0,27.299999999999986,126.30526315789476,153.5,100.0,0.10526315789473087
2024-03-25 21:00:00,-0.0,31.5,184.10526315789474,215.5,100.0,0.10526315789473087
2024-03-25 22:00:00,-0.0,83.43333333333334,397.9719298245614,481.3,100.0,0.10526315789473087
2024-03-25 23:00:00,-0.0,34.5,238.80526315789473,273.2,100.0,0.10526315789473087
2024-03-26 00:00:00,-0.0,9.349999999999993,576.2552631578947,585.5,100.0,0.10526315789473087
2024-03-26 01:00:00,-0.0,12.349999999999993,454.7552631578948,467.0,100.0,0.10526315789473087
2024-03-26 02:00:00,-0.0,18.999999999999996,158.00526315789475,176.9,100.0,0.10526315789473087
2024-03-26 03:00:00,-0.0,17.499999999999993,154.50526315789475,171.9,100.0,0.10526315789473087
2024-03-26 04:00:00,-0.0,13.599999999999996,181.50526315789475,195.0,100.0,0.10526315789473087
2024-03-26 05:00:00,-0.0,-0.0,232.30526315789473,232.2,100.0,0.10526315789473087
2024-03-26 06:00:00,0.14237117643155,-0.0,126.66289198146318,126.7,100.0,0.10526315789473087
2024-03-26 07:00:00,10.75433888213915,-0.0,37.15092427575558,47.8,100.0,0.10526315789473087
2024-03-26 08:00:00,59.21425531307855,-0.0,46.89100784481617,106.0,100.0,0.10526315789473087
2024-03-26 09:00:00,180.5318151579963,-0.0,-0.0,127.1,150.6602244000965,53.43181515799631
2024-03-26 10:00:00,297.3504834704929,-0.0,-0.0,137.4,302.46252347266466,159.9504834704929
2024-03-26 11:00:00,310.6191884146796,2.46666666666666,-0.0,356.5,260.91662327647094,-43.41414491865371
2024-03-26 12:00:00,343.1925148434109,1.733333333333328,-0.0,311.2,292.6952624211015,33.72584817674423
2024-03-26 13:00:00,364.49652777777777,0.46666666666665596,-0.0,408.9,250.66260188090266,-43.93680555555555
2024-03-26 14:00:00,351.7708333333333,0.533333333333328,36.367476197521,547.0,100.0,-158.32835713581238
2024-03-26 15:00:00,281.0243055555556,-0.0,246.1809576023391,527.1,100.0,0.10526315789473087
2024-03-26 16:00:00,201.07291666666666,-0.0,-0.0,194.5,106.14427083333334,6.572916666666657
2024-03-26 17:00:00,43.0486111111111,-0.0,280.8954661915205,330.3,100.0,-6.355922697368418
2024-03-26 18:00:00,3.8628472222221997,-0.0,160.04241593567255,163.8,100.0,0.10526315789473087
2024-03-26 19:00:00,-0.0,-0.0,43.40526315789473,43.3,100.0,0.10526315789473087
2024-03-26 20:00:00,-0.0,-0.0,216.40526315789475,216.3,100.0,0.10526315789473087
2024-03-26 21:00:00,-0.0,5.066666666666665,378.0385964912281,383.0,100.0,0.10526315789473087
2024-03-26 22:00:00,-0.0,5.133333333333324,596.3719298245613,601.4,100.0,0.10526315789473087
2024-03-26 23:00:00,-0.0,1.133333333333328,210.77192982456143,211.8,100.0,0.10526315789473087
2024-03-27 00:00:00,-0.0,9.9,715.8052631578947,725.6,100.0,0.10526315789473087
2024-03-27 01:00:00,-0.0,12.949999999999992,273.35526315789474,286.2,100.0,0.10526315789473087
2024-03-27 02:00:00,-0.0,6.8666666666666645,296.23859649122807,303.0,100.0,0.10526315789473087
2024-03-27 03:00:00,-0.0,13.8,27.405263157894733,41.1,100.0,0.10526315789473087
2024-03-27 04:00:00,-0.0,13.2,17.80526315789473,30.9,100.0,0.10526315789473087
2024-03-27 05:00:00,-0.0,12.0,328.80526315789473,340.7,100.0,0.10526315789473087
2024-03-27 06:00:00,0.15541507603805,10.249999999999991,171.5998480818567,181.9,100.0,0.10526315789473087
2024-03-27 07:00:00,13.0805751484715,10.699999999999992,131.22468800942326,154.9,100.0,0.10526315789473087
2024-03-27 08:00:00,38.24313555326725,7.1333333333333275,110.42879427129415,155.7,100.0,0.10526315789473087
2024-03-27 09:00:00,204.3147085689836,8.099999999999987,-0.0,126.8,181.23397314053443,85.61470856898359
2024-03-27 10:00:00,264.5,-0.0,-0.0,64.5,371.0527391673939,200.0
2024-03-27 11:00:00,324.7588353686863,12.299999999999999,-0.0,312.9,393.63258002847846,24.158835368686297
2024-03-27 12:00:00,389.17471991644965,11.449999999999992,-0.0,466.0,331.13243136907715,-65.37528008355036
2024-03-27 13:00:00,411.3541666666667,9.649999999999991,-0.0,290.0,455.2552572710414,131.00416666666666
2024-03-27 14:00:00,323.31597222222223,10.549999999999992,-0.0,306.6,480.7026756248814,27.265972222222196
2024-03-27 15:00:00,237.70138888888889,10.649999999999999,-0.0,252.6,476.185792393701,-4.24861111111111
2024-03-27 16:00:00,149.83854166666666,12.799999999999992,-0.0,208.8,431.85622118464056,-46.161458333333364
2024-03-27 17:00:00,30.9392361111111,13.599999999999996,71.6607638888889,316.2,241.4243649634559,-200.0
2024-03-27 18:00:00,9.9722222222222,14.083333333333332,-0.0,93.9,174.8307183762702,-69.84444444444448
2024-03-27 19:00:00,-0.0,10.199999999999987,-0.0,36.2,149.95588765789392,-26.000000000000014
2024-03-27 20:00:00,-0.0,2.5333333333333323,92.6393700664182,147.6,100.0,-52.42729660024847
2024-03-27 21:00:00,-0.0,3.399999999999996,409.70526315789476,413.0,100.0,0.10526315789473087
2024-03-27 22:00:00,-0.0,0.46666666666665596,374.5385964912281,374.9,100.0,0.10526315789473087
2024-03-27 23:00:00,-0.0,-0.0,401.60526315789474,401.5,100.0,0.10526315789473087
2024-03-28 00:00:00,-0.0,-0.0,710.4052631578946,710.3,100.0,0.10526315789473087
2024-03-28 01:00:00,-0.0,-0.0,453.60526315789474,453.5,100.0,0.10526315789473087
2024-03-28 02:00:00,-0.0,-0.0,300.5052631578947,300.4,100.0,0.10526315789473087
2024-03-28 03:00:00,-0.0,-0.0,50.50526315789473,50.4,100.0,0.10526315789473087
2024-03-28 04:00:00,-0.0,-0.0,121.20526315789472,121.1,100.0,0.10526315789473087
2024-03-28 05:00:00,-0.0,-0.0,184.10526315789474,184.0,100.0,0.10526315789473087
2024-03-28 06:00:00,0.14490732871405002,-0.0,130.3603558291807,130.4,100.0,0.10526315789473087
2024-03-28 07:00:00,14.571142392750401,-0.0,68.53412076514432,83.0,100.0,0.10526315789473087
2024-03-28 08:00:00,112.8692650629414,-0.0,-0.0,68.7,141.86080180979434,44.16926506294139
2024-03-28 09:00:00,212.94476058748035,1.799999999999988,-0.0,31.8,315.5164635660908,182.94476058748032
2024-03-28 10:00:00,262.9253188394477,-0.0,-0.0,68.4,500.0,194.5253188394477
2024-03-28 11:00:00,402.90272924635144,5.533333333333332,-0.0,417.3,491.07925945070053,-8.863937420315239
2024-03-28 12:00:00,290.14051207938616,6.266666666666664,-0.0,286.5,500.0,9.907178746052823
2024-03-28 13:00:00,377.23958333333337,0.7333333333333321,-0.0,486.0,396.87427083333336,-108.0270833333333
2024-03-28 14:00:00,327.72569444444446,12.799999999999992,-0.0,524.1,222.08180628472223,-183.57430555555558
2024-03-28 15:00:00,263.89409722222223,18.999999999999996,5.932508589948839,417.1,100.0,-128.27339418782896
2024-03-28 16:00:00,165.53645833333331,10.699999999999992,245.86880482456144,422.0,100.0,0.10526315789473087
2024-03-28 17:00:00,60.1006944444444,8.4,215.70456871345039,284.1,100.0,0.10526315789473087
2024-03-28 18:00:00,3.4913194444444,4.26666666666666,102.44727704678365,110.1,100.0,0.10526315789473087
2024-03-28 19:00:00,-0.0,9.0,277.0052631578947,285.9,100.0,0.10526315789473087
2024-03-28 20:00:00,-0.0,9.799999999999992,137.90526315789475,147.6,100.0,0.10526315789473087
2024-03-28 21:00:00,-0.0,10.699999999999992,580.2052631578946,590.8,100.0,0.10526315789473087
2024-03-28 22:00:00,-0.0,5.3999999999999995,653.0052631578947,658.3,100.0,0.10526315789473087
2024-03-28 23:00:00,-0.0,-0.0,183.80526315789473,183.7,100.0,0.10526315789473087
2024-03-29 00:00:00,-0.0,-0.0,590.6052631578947,590.5,100.0,0.10526315789473087
2024-03-29 01:00:00,-0.0,0.46666666666665596,496.1385964912281,496.5,100.0,0.10526315789473087
2024-03-29 02:00:00,-0.0,-0.0,236.50526315789475,236.4,100.0,0.10526315789473087
2024-03-29 03:00:00,-0.0,-0.0,318.20526315789476,318.1,100.0,0.10526315789473087
2024-03-29 04:00:00,-0.0,-0.0,224.60526315789474,224.5,100.0,0.10526315789473087
